id,name,age,department,salary,working_hours
1,Hank,33,Marketing,90950.21,53.4
2,Diana,33,Engineering,81077.45,46.6
3,Hank,58,HR,111065.7,38.9
4,Ivy,39,Finance,77939.87,49.9
5,Bob,38,Engineering,94645.46,50.4
6,Bob,47,HR,57137.28,30.7
7,Alice,60,Sales,56383.72,58.9
8,Ivy,24,HR,118054.19,50.9
9,Bob,36,Engineering,92810.99,22.0
10,Grace,34,Sales,89236.88,50.8
11,Ivy,34,Operations,100544.56,32.8
12,Diana,52,Operations,53176.71,58.9
13,Alice,26,HR,45689.76,54.5
14,Frank,55,Engineering,109568.46,57.9
15,Ivy,31,Operations,86433.65,26.4
16,Grace,27,Sales,84879.06,20.1
17,Jack,52,Sales,76296.05,34.3
18,Eve,45,Sales,92389.28,25.9
19,Hank,39,HR,74569.44,31.1
