id,name,age,department,salary,working_hours
1,Hank,50,HR,94766.32,59.4
2,Bob,38,Finance,97928.73,29.4
3,Eve,32,Finance,35502.97,43.7
4,Diana,28,Sales,98671.11,31.5
5,Charlie,59,Engineering,96359.34,35.6
6,Eve,56,HR,83428.22,20.7
7,Diana,24,Finance,95390.72,54.7
8,Alice,52,HR,105171.63,55.0
9,Jack,40,HR,112974.79,57.3
10,Eve,51,HR,51217.44,27.0
11,Jack,55,Finance,67081.7,57.9
12,Hank,27,Finance,34054.08,31.1
13,Grace,29,Sales,52218.51,47.4
14,Hank,52,Sales,56408.73,29.7
15,Ivy,25,Operations,101801.81,26.7
