id,name,age,department,salary,working_hours
1,Charlie,40,Operations,60349.78,21.9
2,Alice,54,Sales,60435.08,29.0
3,Alice,58,HR,95331.45,39.8
4,Jack,38,Finance,85079.22,23.0
5,Eve,37,Marketing,76527.24,58.2
6,Ivy,35,Marketing,69251.33,29.9
7,Grace,26,Finance,53917.32,54.6
8,Hank,59,HR,61002.23,27.9
9,Eve,45,Sales,35730.57,57.7
10,Hank,23,Operations,97093.42,53.0
11,Eve,59,Operations,32562.66,58.0
12,Charlie,23,HR,73813.2,58.0
13,Hank,53,Engineering,71793.85,33.9
14,Bob,47,Marketing,38896.71,23.9
15,Diana,28,Finance,63703.73,58.9
16,Diana,26,Marketing,105385.5,37.3
17,Eve,55,Marketing,83328.43,49.4
18,Eve,45,Sales,97501.95,26.6
