id,name,age,department,salary,working_hours
1,Hank,59,Finance,117421.08,41.6
2,Diana,60,Sales,105992.52,47.6
3,Ivy,50,Operations,110362.48,51.7
4,Jack,37,Finance,43039.29,48.6
5,Jack,41,HR,94770.3,44.2
6,Diana,45,Operations,105068.78,20.7
7,Bob,46,Marketing,117983.49,31.9
8,Hank,49,Engineering,97230.41,55.5
9,Eve,32,Marketing,104175.04,45.3
10,Eve,35,Sales,55732.39,45.9
11,Ivy,56,Marketing,56836.2,38.2
12,Ivy,35,HR,41728.23,40.5
13,Charlie,27,HR,94200.91,45.2
14,Diana,25,Finance,118384.4,49.4
15,Jack,43,Marketing,71647.06,46.6
16,Frank,37,Engineering,32929.67,23.8
17,Alice,60,Engineering,95631.87,27.3
18,Alice,28,Finance,102495.7,35.5
19,Hank,47,Finance,99429.43,50.8
20,Hank,42,HR,95847.21,21.5
