id,name,age,department,salary,working_hours
1,Eve,50,Sales,91532.09,30.9
2,Frank,27,HR,86962.07,55.5
3,Ivy,51,HR,60976.85,28.5
4,Alice,36,Operations,68870.69,32.5
5,Charlie,32,Marketing,39177.32,29.2
6,Eve,42,Sales,32517.42,30.5
7,Charlie,34,Sales,112722.11,25.1
8,Charlie,54,Finance,104078.62,36.9
9,Bob,32,Marketing,77305.13,52.7
10,Diana,32,Operations,60961.97,43.2
11,Hank,58,HR,74752.35,38.4
12,Charlie,58,Operations,59457.1,27.5
13,Jack,32,Marketing,32957.85,48.4
14,Charlie,58,Engineering,105254.44,32.6
15,Bob,24,Marketing,37990.44,27.2
16,Jack,30,Engineering,65618.56,44.0
17,Alice,28,Engineering,106667.1,47.0
18,Ivy,33,Operations,35764.62,40.1
19,Hank,39,Marketing,116665.22,55.1
