id,name,age,department,salary,working_hours
1,Charlie,50,Operations,85779.67,35.1
2,Frank,28,Engineering,85591.04,24.9
3,Grace,43,Engineering,52672.16,39.3
4,Charlie,56,Engineering,119947.48,48.6
5,Diana,47,Finance,50433.81,23.3
6,Alice,40,Finance,53147.99,38.2
7,Ivy,52,Engineering,97347.41,32.2
8,Diana,52,Operations,53446.49,56.5
9,Bob,25,Operations,51391.05,35.6
10,Hank,52,Finance,72258.44,37.6
11,Jack,25,Sales,67167.93,32.4
12,Eve,51,HR,61973.14,58.7
13,Jack,47,Finance,56172.08,36.8
14,Jack,28,Sales,91557.94,20.5
15,Frank,43,Marketing,88340.96,35.0
16,Frank,40,Sales,79829.13,51.5
17,Ivy,39,Finance,62236.59,24.8
18,Grace,47,Engineering,119973.89,22.9
