id,name,age,department,salary,working_hours
1,Grace,29,Sales,119302.46,39.7
2,Hank,54,Finance,58799.76,27.1
3,Jack,33,Finance,33378.06,43.4
4,Hank,35,Sales,77114.31,49.1
5,Grace,60,Operations,80482.94,43.3
6,Eve,41,Operations,32305.57,32.1
7,Ivy,46,Operations,62464.45,25.9
8,Charlie,37,Engineering,40443.1,50.2
9,Grace,42,HR,48945.19,27.0
10,Bob,30,Sales,116107.58,22.1
11,Hank,47,Engineering,39264.41,35.9
12,Eve,55,HR,101135.18,52.3
13,Bob,30,HR,85973.91,44.7
14,Bob,40,Operations,57565.6,32.1
15,Bob,55,Sales,59002.0,58.7
16,Hank,35,Sales,54446.76,32.1
17,Grace,42,Finance,76962.78,38.3
18,Charlie,56,Finance,58546.02,40.7
19,Bob,56,Operations,46752.35,30.4
