id,name,age,department,salary,working_hours
1,Ivy,48,Operations,99723.74,32.1
2,Hank,45,Operations,45840.96,35.0
3,Frank,31,HR,80828.5,29.6
4,Eve,58,Marketing,45756.89,59.6
5,Diana,58,Marketing,86142.47,30.1
6,Alice,35,Operations,68530.96,20.9
7,Ivy,55,Marketing,112259.97,45.8
8,Diana,26,Marketing,36493.01,44.7
9,Charlie,40,HR,116073.98,40.8
10,Eve,35,HR,105155.91,26.8
11,Eve,37,Marketing,79886.59,22.8
12,Ivy,28,Marketing,107288.31,34.4
13,Eve,27,HR,105901.46,42.2
14,Jack,29,Engineering,79846.02,47.9
15,Ivy,28,Operations,52305.13,25.4
16,Bob,51,Marketing,89266.24,57.7
17,Ivy,51,Operations,50351.17,41.9
18,Bob,50,Engineering,65088.13,36.6
19,Ivy,30,Finance,117383.11,28.8
