id,name,age,department,salary,working_hours
1,Alice,59,HR,59185.13,31.9
2,Ivy,50,Sales,69701.94,28.1
3,Diana,52,Sales,107149.38,50.2
4,Hank,23,Engineering,102984.87,36.2
5,Eve,60,Engineering,111765.88,31.6
6,Grace,55,HR,51978.76,47.6
7,Jack,52,HR,117503.91,45.7
8,Grace,30,Marketing,77592.79,45.4
9,Eve,60,Marketing,73534.46,22.8
10,Hank,55,Engineering,33938.26,50.9
11,Bob,41,HR,66348.01,47.1
12,Alice,47,Finance,50465.58,32.8
13,Ivy,23,HR,42022.88,24.5
14,Eve,31,Engineering,64952.9,47.6
