id,name,age,department,salary,working_hours
1,Frank,39,HR,104074.81,58.7
2,Hank,33,Sales,111324.76,27.4
3,Eve,23,HR,91949.5,39.4
4,Grace,26,Operations,63906.5,49.4
5,Ivy,27,Engineering,34442.8,20.2
6,Alice,54,Sales,67353.9,42.6
7,Ivy,37,Marketing,45172.84,52.9
8,Diana,29,Operations,108314.34,41.7
9,Alice,33,HR,110969.29,23.3
10,Jack,59,Finance,74420.35,37.3
11,Charlie,46,Finance,107298.14,57.6
12,Bob,22,HR,119868.38,42.6
13,Charlie,51,Sales,119284.06,59.9
14,Ivy,31,Finance,30266.5,31.2
15,Charlie,23,Sales,32770.29,57.9
16,Ivy,38,Finance,42982.75,51.1
17,Bob,34,Sales,100058.76,41.4
18,Charlie,49,Marketing,96754.78,52.2
19,Eve,53,Finance,67890.41,41.1
