id,name,age,department,salary,working_hours
1,Ivy,54,HR,33655.29,44.1
2,Eve,40,Marketing,43250.66,50.9
3,Frank,37,Operations,40616.22,55.8
4,Charlie,40,Operations,71991.06,58.8
5,Grace,24,Engineering,47334.15,59.2
6,Hank,53,HR,89661.64,57.7
7,Hank,36,HR,41682.76,31.3
8,Jack,39,HR,79699.64,59.1
9,Charlie,36,Operations,91306.0,48.7
10,Jack,44,Engineering,118947.89,47.1
11,Alice,54,Operations,46627.39,34.0
12,Charlie,23,Operations,104866.29,57.4
13,Alice,36,HR,48910.24,53.2
14,Eve,44,HR,49298.7,37.9
15,Eve,29,HR,109338.57,46.4
16,Jack,48,HR,113534.52,45.9
17,Hank,27,Finance,59710.86,41.6
