id,name,age,department,salary,working_hours
1,Charlie,38,Finance,101683.2,57.6
2,Ivy,60,Operations,96158.85,52.2
3,Eve,23,Finance,34752.12,29.2
4,Ivy,34,Marketing,80594.85,40.2
5,Charlie,24,Finance,50309.8,29.2
6,Frank,51,Finance,78090.99,53.0
7,Ivy,22,Finance,91137.9,46.1
8,Charlie,58,HR,38961.87,37.3
9,Charlie,26,Finance,68357.71,20.5
10,Jack,46,Operations,34092.87,36.2
11,Grace,48,HR,115816.2,27.1
12,Charlie,44,Engineering,36148.72,52.5
13,Ivy,49,Sales,73479.43,45.0
14,Bob,53,Marketing,53156.41,20.5
15,Alice,53,Marketing,76749.44,44.3
16,Grace,58,Operations,108272.84,23.0
