id,name,age,department,salary,working_hours
1,Bob,60,HR,60022.11,49.1
2,Jack,40,Finance,30840.76,29.6
3,Eve,36,Finance,97637.91,46.8
4,Bob,32,Finance,31485.4,24.8
5,Hank,30,Marketing,38671.32,57.8
6,Alice,43,Operations,76857.51,27.8
7,Eve,27,Finance,101503.51,22.6
8,Charlie,52,Marketing,89536.06,21.2
9,Jack,46,Sales,101568.28,22.4
10,Alice,42,Engineering,73995.69,53.2
11,Jack,26,Marketing,88917.64,24.2
12,Bob,24,Marketing,113990.37,42.4
13,Charlie,59,Sales,114962.75,48.8
14,Diana,35,Operations,91735.21,55.9
15,Eve,22,HR,61818.48,39.6
16,Grace,44,Engineering,73713.0,56.3
17,Alice,50,Sales,38979.46,31.6
18,Ivy,55,HR,33847.41,46.8
19,Frank,50,Operations,110632.66,33.6
20,Ivy,29,Engineering,92768.22,42.8
