id,name,age,department,salary,working_hours
1,Ivy,39,Finance,41309.52,30.9
2,Diana,28,Finance,84465.69,42.6
3,Diana,23,Finance,114187.68,59.0
4,Bob,46,Operations,58119.73,50.3
5,Eve,36,Finance,110635.32,28.1
6,Ivy,51,Engineering,72627.53,40.2
7,Grace,48,Operations,60697.38,37.2
8,Charlie,45,HR,67621.97,48.7
9,Diana,31,Operations,102636.26,51.1
10,Frank,33,HR,37277.12,34.0
11,Alice,41,Finance,47331.37,49.0
12,Ivy,32,Engineering,33797.76,33.4
13,Bob,43,HR,63862.15,47.3
14,Eve,30,Marketing,33884.82,47.7
15,Eve,29,Marketing,86459.64,58.8
