id,name,age,department,salary,working_hours
1,Charlie,56,Sales,79183.71,40.5
2,Bob,31,Engineering,37557.3,52.3
3,Charlie,32,Engineering,60489.07,42.7
4,Hank,35,Sales,110333.39,57.3
5,Hank,22,Engineering,66427.17,43.4
6,Alice,43,HR,48950.4,42.8
7,Frank,36,Marketing,50137.12,58.6
8,Grace,46,Sales,68834.17,59.5
9,Frank,24,Finance,30367.78,22.5
10,Alice,29,Finance,44865.64,26.7
11,Grace,33,Finance,102092.26,57.3
12,Charlie,23,HR,71932.67,21.9
13,Alice,31,Finance,111813.28,42.3
14,Diana,38,HR,95359.8,28.6
15,Jack,33,Engineering,61692.1,59.1
16,Eve,54,Sales,32511.27,33.0
17,Diana,52,Sales,59084.01,51.0
18,Eve,35,Sales,74771.61,55.1
19,Charlie,50,HR,98548.68,20.0
20,Ivy,35,Sales,99606.48,48.7
