id,name,age,department,salary,working_hours
1,Charlie,36,Operations,113849.72,50.2
2,Jack,60,Engineering,101444.56,42.0
3,Bob,35,Operations,76642.18,48.2
4,Jack,27,Operations,86604.36,53.3
5,Frank,49,Marketing,76061.91,24.8
6,Alice,33,Finance,39513.17,45.0
7,Alice,37,Engineering,45567.36,28.7
8,Jack,25,Sales,118370.28,33.2
9,Diana,38,Marketing,64714.51,51.5
10,Grace,46,Operations,75133.03,25.0
11,Ivy,23,Sales,68388.99,52.4
12,Eve,54,HR,39329.74,40.2
13,Charlie,47,Sales,85846.19,26.1
14,Frank,59,Engineering,114391.44,29.3
15,Grace,30,HR,66198.61,30.1
16,Diana,46,Engineering,83780.49,54.5
17,Charlie,47,Finance,76077.77,33.3
