id,name,age,department,salary,working_hours
1,Eve,31,HR,46707.78,46.9
2,Grace,26,Operations,55376.91,26.2
3,Bob,23,HR,72745.43,49.4
4,Charlie,32,Finance,59751.85,48.0
5,Diana,60,Sales,77891.7,41.8
6,Ivy,30,Finance,54268.3,53.6
7,Bob,26,Marketing,53867.35,23.2
8,Ivy,40,Marketing,118640.19,41.9
9,Charlie,52,Marketing,59092.83,30.0
10,Charlie,57,Sales,79083.4,36.9
11,Hank,37,HR,62068.73,24.8
12,Diana,28,HR,110085.42,40.1
13,Bob,40,Operations,58341.95,23.5
14,Jack,38,Marketing,107295.42,44.6
15,Alice,37,Operations,43406.78,27.5
16,Jack,33,HR,64710.51,44.0
17,Ivy,51,Marketing,63017.92,24.7
18,Bob,44,Marketing,103853.04,41.9
19,Frank,58,Engineering,93158.34,38.2
20,Grace,30,HR,79773.12,47.4
