id,name,age,department,salary,working_hours
1,Ivy,38,Operations,118212.22,20.6
2,Eve,50,Operations,100917.27,23.1
3,Charlie,40,Finance,99214.69,59.7
4,Diana,41,Sales,84612.23,55.4
5,Eve,52,Engineering,64707.24,23.1
6,Diana,41,Marketing,118583.0,57.0
7,Ivy,57,Sales,65468.98,23.4
8,Bob,57,Sales,96172.53,32.3
9,Alice,60,Engineering,116041.91,24.5
10,Frank,34,Operations,75818.41,22.2
11,Charlie,23,Finance,91626.67,28.4
12,Ivy,50,Finance,80816.73,48.4
13,Grace,34,Finance,60291.4,33.1
14,Charlie,29,Sales,117436.21,41.1
15,Frank,54,HR,111136.91,48.7
16,Bob,28,Operations,62584.89,25.4
17,Charlie,58,Operations,81745.96,51.1
18,Grace,34,Marketing,59734.55,41.6
19,Bob,36,Operations,78018.98,30.3
