id,name,age,department,salary,working_hours
1,Bob,46,Engineering,35671.53,26.3
2,Hank,43,Operations,35481.05,23.1
3,Jack,56,Sales,85977.97,23.8
4,Jack,22,Sales,65162.09,21.3
5,Charlie,45,Engineering,104061.2,25.2
6,Grace,30,Sales,103240.94,24.5
7,Eve,39,HR,41302.79,29.5
8,Ivy,55,Sales,91123.15,23.0
9,Frank,54,Sales,40339.01,41.8
10,Eve,57,Marketing,46389.73,47.7
11,Alice,25,Engineering,73735.52,24.2
12,Charlie,31,Marketing,109375.06,56.2
13,Jack,28,Operations,98227.22,41.7
14,Hank,41,Marketing,66944.1,54.4
15,Bob,48,HR,71418.72,48.8
16,Diana,43,Finance,39111.82,34.3
17,Bob,27,Finance,113087.4,25.1
18,Eve,38,Operations,49928.61,45.1
19,Frank,39,Marketing,119690.09,32.7
