id,name,age,department,salary,working_hours
1,Alice,43,Engineering,53122.02,31.2
2,Charlie,60,Operations,87313.89,33.8
3,Bob,42,Marketing,66973.62,24.5
4,Charlie,30,Operations,101656.67,20.1
5,Ivy,59,HR,43443.34,30.5
6,Ivy,25,Sales,90475.72,31.7
7,Jack,48,Finance,115932.41,21.5
8,Charlie,52,HR,83986.19,32.1
9,Grace,22,HR,113252.07,21.7
10,Bob,50,Engineering,98288.96,38.5
11,Jack,26,Sales,91684.22,42.1
12,Diana,51,Operations,61707.19,53.2
13,Eve,56,Sales,57906.87,44.0
14,Eve,47,Engineering,60926.26,23.4
15,Bob,46,Engineering,64834.5,36.7
16,Alice,27,Finance,51459.3,29.4
17,Jack,55,HR,85985.94,43.7
18,Diana,31,Sales,83037.01,31.3
