id,name,age,department,salary,working_hours
1,Diana,24,Sales,52658.06,51.4
2,Grace,42,Operations,74877.39,41.2
3,Hank,38,Finance,105503.37,51.3
4,Eve,50,Engineering,74410.29,53.2
5,Grace,56,Sales,117641.34,29.0
6,Alice,47,HR,31870.79,44.0
7,Alice,34,Engineering,99825.19,21.1
8,Hank,32,Sales,86013.95,23.8
9,Diana,30,Sales,71118.32,54.9
10,Jack,56,Engineering,101121.0,25.6
11,Charlie,42,Finance,48768.85,52.7
12,Hank,23,Operations,64690.25,28.9
13,Eve,45,Operations,43031.35,22.2
14,Diana,57,Engineering,81956.52,53.9
15,Diana,24,Engineering,59996.18,20.5
