id,name,age,department,salary,working_hours
1,Diana,42,Marketing,92674.21,33.6
2,Alice,47,Marketing,97738.44,48.5
3,Frank,35,HR,99682.26,51.0
4,Frank,42,HR,97785.49,58.3
5,Hank,59,Finance,119161.1,26.3
6,Ivy,48,Finance,111146.18,23.8
7,Eve,44,Sales,97900.13,49.1
8,Frank,28,Sales,35727.56,40.4
9,Grace,28,Finance,49737.24,52.3
10,Eve,23,Sales,54261.42,49.6
11,Hank,57,Engineering,107153.62,54.0
12,Frank,24,Sales,89672.93,51.6
13,Alice,33,Finance,58810.39,59.4
14,Ivy,40,Finance,72390.19,52.1
15,Grace,49,Marketing,59641.64,23.9
16,Eve,53,HR,74828.78,24.1
17,Grace,54,Marketing,74208.59,50.9
18,Alice,51,Operations,102329.25,46.3
19,Frank,43,Finance,68652.26,35.6
20,Diana,44,Sales,39541.93,59.3
