id,name,age,department,salary,working_hours
1,Grace,48,HR,61912.67,40.6
2,Alice,46,Sales,44961.98,40.7
3,Alice,23,Operations,93645.4,22.7
4,Alice,60,Operations,110556.16,20.5
5,Ivy,58,Engineering,119595.81,22.8
6,Grace,36,Engineering,109137.04,22.7
7,Ivy,54,Marketing,68363.63,33.1
8,Frank,29,HR,64173.71,53.4
9,Frank,36,HR,56444.71,21.1
10,Diana,60,Finance,51502.4,54.1
11,Charlie,41,Marketing,111139.59,35.8
12,Grace,24,Sales,53088.59,57.5
13,Grace,25,Marketing,44858.95,28.0
14,Hank,23,Operations,62630.44,24.6
15,Eve,29,Marketing,98851.15,59.0
16,Alice,36,Finance,100630.39,34.4
17,Grace,41,Sales,104616.88,36.9
18,Diana,39,Sales,66963.7,47.9
19,Hank,55,Marketing,84160.32,39.0
20,Alice,26,Finance,31335.06,49.3
