id,name,age,department,salary,working_hours
1,Jack,46,Marketing,114088.14,30.1
2,Charlie,33,Operations,55341.68,40.4
3,Alice,36,Sales,66900.6,25.3
4,Hank,45,Engineering,65229.58,35.6
5,Grace,60,Sales,35242.29,44.3
6,Bob,30,Engineering,43040.81,40.4
7,Charlie,51,Operations,41153.14,56.0
8,Jack,43,Marketing,81727.68,58.5
9,Hank,32,Sales,116748.34,38.0
10,Hank,51,Sales,100906.55,20.7
11,Ivy,39,Marketing,37503.17,51.2
12,Ivy,57,Operations,96081.45,41.4
13,Jack,35,Engineering,116276.83,48.7
14,Bob,38,HR,88509.79,28.3
