id,name,age,department,salary,working_hours
1,Diana,25,Sales,69649.17,42.7
2,Alice,44,HR,54230.69,21.6
3,Bob,39,Marketing,47687.14,54.7
4,Eve,53,Marketing,84072.0,35.9
5,Grace,29,Operations,42371.53,34.6
6,Ivy,55,HR,50617.74,47.2
7,Eve,24,Sales,44167.96,55.7
8,Grace,25,HR,79216.86,46.3
9,Diana,31,Operations,77967.64,57.2
10,Ivy,49,Sales,58308.53,47.0
11,Eve,60,Marketing,84619.82,57.4
12,Grace,44,Marketing,82684.29,36.0
13,Diana,60,Finance,118628.3,51.7
14,Bob,46,Marketing,103838.6,35.3
