id,name,age,department,salary,working_hours
1,Diana,58,Engineering,90534.76,50.3
2,Ivy,39,Finance,111356.62,42.0
3,Bob,39,Sales,32671.45,33.7
4,Diana,58,Marketing,70216.02,46.5
5,Bob,59,Operations,60604.45,33.4
6,Jack,36,Engineering,97087.71,59.2
7,Diana,26,Operations,92097.62,50.6
8,Alice,55,Engineering,64186.17,26.9
9,Jack,60,Marketing,89657.83,39.6
10,Ivy,42,Marketing,90248.89,48.4
11,Ivy,27,Engineering,53292.07,31.7
12,Alice,40,Finance,86838.62,31.8
13,Ivy,49,Marketing,104678.6,34.0
14,Jack,45,Engineering,99436.06,36.6
