id,name,age,department,salary,working_hours
1,Alice,40,Operations,84086.04,35.6
2,Eve,37,Sales,78297.55,48.5
3,Hank,44,Operations,42526.09,27.8
4,Ivy,23,Finance,35591.32,25.6
5,Diana,57,Sales,73696.91,23.4
6,Grace,32,Sales,110841.64,30.7
7,Diana,23,Engineering,114320.36,24.4
8,Charlie,39,Finance,102403.42,41.8
9,Charlie,53,HR,37089.19,50.8
10,Hank,36,Operations,69249.9,21.7
11,Frank,32,Finance,56259.08,55.1
12,Diana,35,Operations,97202.87,32.9
13,Charlie,29,Finance,80459.88,41.3
14,Grace,51,Sales,40319.23,25.4
15,Bob,40,HR,58138.01,48.8
16,Bob,24,Finance,35437.83,35.9
17,Jack,51,HR,58324.15,36.5
18,Eve,24,Sales,55419.2,27.8
19,Frank,28,Sales,108034.76,26.2
