id,name,age,department,salary,working_hours
1,Jack,22,Marketing,46867.53,27.4
2,Hank,55,Sales,58377.91,58.6
3,Eve,34,HR,97815.98,53.8
4,Diana,31,Operations,64436.16,32.2
5,Ivy,31,Sales,105267.18,48.3
6,Bob,43,Marketing,112840.54,41.3
7,Hank,46,HR,65475.73,48.5
8,Hank,51,Finance,107613.51,54.2
9,Frank,25,HR,103343.71,26.5
10,Charlie,39,Operations,110199.53,38.9
11,Eve,22,Engineering,81740.31,59.0
12,Alice,55,Engineering,65761.72,56.6
13,Jack,59,Marketing,116526.11,36.4
14,Bob,22,Engineering,110748.51,59.1
15,Bob,59,Operations,86668.12,44.6
16,Charlie,27,Sales,105767.32,39.7
17,Charlie,46,Finance,75395.59,25.1
