id,name,age,department,salary,working_hours
1,Diana,42,Engineering,56954.36,56.2
2,Alice,58,Engineering,102016.12,52.4
3,Grace,29,Marketing,75779.9,39.3
4,Hank,48,HR,44270.22,34.3
5,Alice,57,Operations,62858.02,39.6
6,Eve,50,HR,107523.31,35.5
7,Eve,38,Engineering,117231.11,36.5
8,Grace,59,Marketing,37780.56,47.8
9,Alice,51,Engineering,106200.96,39.5
10,Hank,53,Engineering,76498.84,41.5
11,Ivy,31,Finance,39450.5,59.8
12,Ivy,41,Finance,59654.16,25.4
13,Charlie,54,Finance,30636.63,27.6
14,Diana,41,Engineering,32094.45,49.9
15,Eve,49,Engineering,62189.25,29.7
16,Grace,28,Marketing,72035.38,40.0
17,Eve,22,Operations,39012.92,31.4
18,Charlie,49,Engineering,106845.33,55.6
