id,name,age,department,salary,working_hours
1,Hank,46,Engineering,94841.98,23.8
2,Charlie,31,Operations,98158.12,54.3
3,Jack,29,Sales,70066.29,44.3
4,Charlie,51,Sales,93453.99,47.2
5,Eve,27,Operations,87379.65,21.4
6,Frank,23,HR,113583.11,41.7
7,Hank,58,Operations,99776.15,53.7
8,Frank,30,HR,31398.33,44.3
9,Eve,60,Finance,89396.89,40.6
10,Bob,58,Sales,94268.43,26.9
11,Diana,60,Finance,87036.59,38.8
12,Bob,37,Sales,84385.88,56.7
13,Diana,50,Engineering,44679.86,33.4
14,Charlie,52,Engineering,103601.0,29.0
15,Eve,30,Sales,91891.95,53.5
16,Charlie,47,Finance,57551.3,34.9
