id,name,age,department,salary,working_hours
1,Hank,44,Operations,30698.03,35.8
2,Frank,46,Sales,83526.12,38.6
3,Alice,49,Sales,38234.26,28.8
4,Jack,52,Marketing,44635.49,44.6
5,Eve,48,HR,61305.86,20.0
6,Alice,25,Marketing,44545.18,54.0
7,Frank,30,Finance,116394.55,52.1
8,Alice,46,HR,102880.38,23.0
9,Alice,33,Operations,57336.3,24.4
10,Diana,40,Engineering,93499.39,25.6
11,Bob,28,Finance,31167.68,42.0
12,Ivy,37,Operations,93069.67,43.3
13,Frank,46,Operations,78183.18,29.6
14,Jack,40,Operations,100478.71,42.3
15,Charlie,50,Marketing,92702.12,46.7
16,Eve,51,Marketing,41134.19,43.5
17,Alice,35,Operations,36940.45,41.4
18,Bob,23,Engineering,113944.38,38.0
