id,name,age,department,salary,working_hours
1,Ivy,27,HR,71410.88,38.7
2,Diana,48,Sales,39913.78,22.7
3,Charlie,25,Engineering,99820.92,24.8
4,Ivy,31,Sales,102314.38,52.2
5,Jack,45,Operations,111410.87,51.0
6,Charlie,52,Operations,51624.39,40.6
7,Alice,27,Marketing,113195.32,31.7
8,Frank,50,Finance,86886.35,46.0
9,Eve,58,Operations,105437.6,50.7
10,Eve,49,Engineering,86100.15,30.1
11,Grace,37,Finance,78987.88,24.5
12,Jack,30,HR,41723.84,43.9
13,Hank,39,Finance,72721.85,51.0
14,Jack,25,Marketing,66599.5,33.2
15,Alice,42,Marketing,118711.58,31.6
16,Eve,22,Finance,114415.4,40.3
