id,name,age,department,salary,working_hours
1,Hank,28,HR,82987.5,35.8
2,Charlie,56,Engineering,103031.25,22.1
3,Charlie,24,Finance,100916.12,40.9
4,Charlie,42,Operations,55736.59,24.5
5,Hank,43,Sales,61854.99,29.8
6,Diana,41,HR,58349.17,43.2
7,Diana,27,Operations,45591.07,50.3
8,Eve,50,Engineering,108802.18,22.3
9,Hank,52,Engineering,73129.46,49.5
10,Frank,23,Operations,81328.9,25.1
11,Grace,36,Operations,76229.86,33.6
12,Bob,54,HR,103732.71,20.2
13,Charlie,29,Finance,100021.35,58.1
14,Bob,45,Sales,112112.23,20.4
15,Frank,24,Finance,105841.57,53.3
16,Frank,46,Finance,90680.36,40.5
17,Hank,52,Engineering,32859.18,31.8
