id,name,age,department,salary,working_hours
1,Alice,38,Marketing,59087.63,20.7
2,Ivy,36,Engineering,32143.48,41.1
3,Eve,23,Operations,34408.73,43.2
4,Charlie,41,Operations,114509.39,22.2
5,Jack,51,Operations,60478.02,42.5
6,Frank,36,Marketing,75471.99,42.8
7,Jack,54,Marketing,31356.09,53.8
8,Eve,45,Sales,72195.7,52.8
9,Alice,42,Finance,118096.43,36.6
10,Grace,35,Finance,53626.44,30.8
11,Ivy,27,Operations,33502.94,36.7
12,Hank,40,HR,98209.47,30.1
13,Alice,39,Engineering,34345.66,35.0
14,Charlie,35,Finance,38116.92,25.6
15,Hank,29,Sales,59914.0,41.2
16,Eve,52,HR,46225.92,40.7
17,Grace,31,Operations,118575.47,36.7
18,Hank,35,Finance,91097.67,37.3
