id,name,age,department,salary,working_hours
1,Charlie,59,Operations,75165.0,39.1
2,Eve,23,Finance,84508.52,26.8
3,Hank,60,Sales,81033.28,53.6
4,Charlie,36,Sales,70259.77,45.7
5,Diana,55,Finance,91857.86,25.1
6,Jack,56,Finance,89606.9,31.5
7,Diana,36,HR,44470.01,59.8
8,Grace,42,Sales,89208.06,45.9
9,Jack,33,Engineering,86848.37,28.2
10,Diana,30,HR,58676.35,36.1
11,Eve,51,Sales,41219.54,27.0
12,Frank,36,Marketing,67771.96,31.2
13,Jack,22,Marketing,30169.66,20.8
14,Charlie,31,Engineering,69936.25,58.9
15,Ivy,36,Marketing,118308.65,29.1
16,Ivy,48,Sales,104338.65,47.3
17,Diana,45,Finance,114750.5,48.7
18,Charlie,28,Engineering,40722.13,31.4
