id,name,age,department,salary,working_hours
1,Diana,51,Marketing,50939.51,37.3
2,Alice,49,Finance,84558.18,55.4
3,Alice,51,Operations,97917.7,51.0
4,Eve,43,Operations,31654.36,56.4
5,Charlie,59,Marketing,83730.74,54.6
6,Charlie,54,Marketing,32525.67,59.0
7,Hank,54,HR,54437.75,25.5
8,Eve,36,Sales,107890.02,58.1
9,Jack,53,HR,119282.1,33.4
10,Alice,37,Marketing,44143.27,54.2
11,Frank,35,Sales,102648.24,35.2
12,Eve,22,HR,30724.75,57.7
13,Grace,26,Finance,103650.88,28.5
14,Grace,47,HR,88332.52,31.7
15,Charlie,40,Marketing,39115.19,43.5
16,Diana,40,Finance,109949.36,56.8
17,Grace,51,Finance,62078.75,23.4
