id,name,age,department,salary,working_hours
1,Charlie,60,Engineering,46110.96,30.9
2,Diana,37,Marketing,71368.17,29.1
3,Bob,32,HR,113223.38,51.6
4,Ivy,47,Sales,98944.26,27.2
5,Diana,45,HR,94332.49,36.3
6,Ivy,54,Sales,119121.39,22.2
7,Jack,40,HR,30522.02,45.8
8,Grace,36,Engineering,114269.16,56.1
9,Grace,49,Operations,81543.89,22.7
10,Jack,30,Operations,30486.71,40.1
11,Hank,29,Marketing,108641.68,42.1
12,Alice,60,HR,30581.29,55.1
13,Grace,39,Sales,69172.17,55.9
14,Hank,37,Finance,41709.48,23.1
15,Ivy,23,Operations,100426.82,36.2
16,Charlie,57,Operations,60630.26,24.3
17,Bob,34,Sales,47628.1,55.0
18,Diana,48,Operations,61717.1,46.2
19,Eve,44,Sales,74270.32,41.0
20,Diana,58,Engineering,57951.48,25.7
