emp_id,name,department,salary,joining_date,city
1,Ali Ahmed,Engineering,95000,2021-03-15,Lahore
2,Sara Khan,Marketing,72000,2020-07-01,Karachi
3,Usman Raza,Engineering,88000,2019-11-20,Islamabad
4,Fatima Malik,HR,65000,2022-01-10,Lahore
5,Bilal Hussain,Marketing,78000,2021-09-05,Karachi
6,Ayesha Siddiqui,Engineering,102000,2018-06-30,Islamabad
7,Zara Sheikh,HR,61000,2023-02-14,Lahore
8,Hamza Mirza,Finance,85000,2020-12-01,Karachi
9,Nadia Iqbal,Finance,79000,2021-05-18,Islamabad
10,Omar Farooq,Marketing,69000,2022-08-22,Lahore

