emp_id,name,department,salary,joining_date,city
11,Hasan Malik,Engineering,97000,2020-03-10,Karachi
12,Amna Tariq,HR,63000,2022-06-15,Lahore
13,Kamran Ali,Finance,82000,2019-09-25,Islamabad
14,Saba Hussain,Marketing,74000,2021-11-30,Karachi
15,Fahad Sheikh,Engineering,99000,2017-08-12,Lahore
16,Mariam Baig,HR,67000,2023-04-20,Islamabad
17,Tariq Mehmood,Finance,88000,2018-12-05,Karachi
18,Hira Qureshi,Marketing,71000,2022-03-18,Lahore
19,Asad Iqbal,Engineering,94000,2020-07-22,Islamabad
20,Sana Mirza,HR,62000,2023-01-09,Karachi
