id,name,age,department,salary,working_hours
1,Jack,35,Sales,103758.47,45.1
2,Bob,25,Finance,43035.8,59.2
3,Jack,58,HR,103203.57,36.5
4,Charlie,45,Marketing,49214.14,30.5
5,Eve,35,Engineering,112118.64,57.6
6,Ivy,52,Engineering,96158.12,52.6
7,Bob,29,HR,59477.53,42.2
8,Frank,50,Operations,88559.87,34.2
9,Jack,45,HR,69019.65,36.8
10,Ivy,28,Marketing,65528.23,32.7
11,Frank,35,Operations,103446.4,57.8
12,Eve,39,Engineering,68693.9,55.4
13,Grace,24,Engineering,100535.38,43.6
14,Diana,45,HR,97267.86,32.9
15,Charlie,32,Finance,93942.63,42.3
