id,name,age,department,salary,working_hours
1,Alice,60,Finance,102381.64,47.3
2,Hank,40,Finance,70279.45,44.6
3,Grace,53,Engineering,50501.45,45.5
4,Alice,27,Operations,107401.52,21.8
5,Jack,58,Engineering,70394.26,54.8
6,Charlie,47,Engineering,40708.53,24.4
7,Bob,50,HR,109574.89,60.0
8,Ivy,37,Marketing,103690.38,45.0
9,Diana,26,Marketing,99987.98,48.2
10,Grace,34,Engineering,65234.56,32.7
11,Ivy,26,HR,102809.37,40.9
12,Jack,51,Engineering,40951.78,32.6
13,Frank,33,Marketing,73160.6,27.0
14,Frank,59,Operations,51216.56,21.7
15,Alice,51,Operations,67040.42,34.8
16,Frank,52,Engineering,63696.27,37.0
