id,name,age,department,salary,working_hours
1,Ivy,41,Engineering,76762.41,36.8
2,Ivy,22,Marketing,114003.35,59.7
3,Eve,33,Sales,92947.45,50.0
4,Ivy,58,Engineering,116058.12,41.6
5,Charlie,40,Finance,111102.92,45.6
6,Grace,28,Operations,111304.11,46.8
7,Charlie,52,Engineering,41468.02,58.9
8,Grace,30,Engineering,84470.93,42.6
9,Bob,43,Finance,41710.76,58.2
10,Jack,38,Finance,117649.23,26.0
11,Diana,56,HR,91808.17,53.1
12,Charlie,30,Sales,77121.9,53.1
13,Eve,22,Finance,39904.19,24.3
14,Frank,40,HR,37163.42,55.7
15,Bob,35,Sales,66792.32,33.1
16,Diana,41,Operations,52663.85,32.6
17,Frank,26,Sales,81924.52,42.9
