id,name,age,department,salary,working_hours
1,Diana,52,Finance,44342.13,59.8
2,Jack,42,Sales,49889.35,35.7
3,Ivy,55,Sales,103089.67,34.1
4,Charlie,55,Finance,54577.17,51.6
5,Hank,47,HR,112482.38,48.3
6,Bob,25,Sales,96222.63,26.7
7,Diana,30,Marketing,118699.87,44.6
8,Frank,30,Operations,93888.1,20.3
9,Alice,42,Engineering,98954.28,20.2
10,Grace,49,Operations,76356.6,31.2
11,Grace,38,Marketing,66692.86,56.0
12,Diana,36,HR,34529.63,36.9
13,Frank,29,Engineering,68758.0,55.1
14,Hank,22,Sales,53928.63,35.4
15,Bob,37,Operations,39837.2,29.2
16,Bob,31,Finance,104981.38,48.0
17,Bob,54,Marketing,76915.1,56.2
18,Hank,30,Engineering,73945.37,34.2
