id,name,age,department,salary,working_hours
1,Grace,55,Marketing,62857.34,38.6
2,Alice,34,HR,66058.95,24.6
3,Grace,36,Operations,111612.02,39.9
4,Hank,48,Finance,95750.91,47.7
5,Bob,33,Sales,63942.85,51.1
6,Grace,26,Operations,76224.79,27.3
7,Jack,26,Operations,116385.96,58.6
8,Diana,23,Sales,116995.54,59.2
9,Frank,59,Marketing,69617.95,56.0
10,Jack,60,Engineering,105340.11,27.8
11,Frank,42,Marketing,84891.59,46.9
12,Bob,47,Engineering,65066.15,48.7
13,Diana,38,Marketing,86906.03,29.8
14,Jack,25,Marketing,91090.96,31.9
