id,name,age,department,salary,working_hours
1,Grace,34,Engineering,89961.2,29.0
2,Hank,25,Marketing,74988.65,38.9
3,Jack,54,HR,43897.01,54.0
4,Diana,52,Marketing,91744.91,27.9
5,Hank,47,Finance,63008.37,34.9
6,Frank,39,Sales,71227.21,33.0
7,Ivy,59,Operations,76204.82,35.0
8,Grace,38,Operations,112332.61,20.9
9,Grace,45,Sales,63673.3,36.5
10,Charlie,39,Marketing,40350.52,25.1
11,Grace,36,Operations,90093.83,23.3
12,Grace,24,Engineering,56180.27,55.1
13,Frank,51,Operations,62054.54,31.4
14,Charlie,57,Sales,37243.3,41.9
15,Diana,42,Operations,92109.6,22.8
16,Jack,51,Marketing,72297.95,26.2
17,Grace,30,Marketing,55320.58,58.9
18,Diana,41,Marketing,41852.0,49.5
19,Diana,52,Marketing,78956.98,37.0
