id,name,age,department,salary,working_hours
1,Grace,36,Sales,60795.05,22.9
2,Ivy,40,Finance,113330.09,36.0
3,Bob,41,Engineering,39860.22,22.6
4,Diana,57,Sales,44618.4,34.1
5,Grace,35,Operations,55166.23,46.2
6,Bob,52,Sales,85982.62,36.3
7,Diana,46,Marketing,91294.74,54.5
8,Charlie,36,Engineering,73980.0,51.3
9,Frank,59,Marketing,106886.2,25.4
10,Ivy,22,Finance,41900.28,28.9
11,Diana,53,Engineering,109433.33,59.9
12,Jack,33,Engineering,118402.37,46.8
13,Alice,27,Engineering,91760.11,53.2
14,Ivy,43,Sales,119671.16,25.9
15,Jack,60,Sales,41946.04,39.6
16,Charlie,50,Operations,101630.61,22.7
17,Eve,41,Operations,65779.06,44.8
18,Eve,52,HR,115067.49,26.5
