id,name,age,department,salary,working_hours
1,Ivy,23,Engineering,45227.88,50.1
2,Charlie,44,Finance,51864.34,55.0
3,Alice,46,Marketing,109636.74,59.0
4,Diana,54,HR,112349.09,30.3
5,Ivy,59,Engineering,55127.57,41.5
6,Bob,22,Operations,104624.72,56.1
7,Bob,24,Sales,76132.95,55.1
8,Charlie,31,Finance,41659.39,57.3
9,Frank,46,Sales,106576.25,33.2
10,Diana,25,Marketing,39636.83,37.1
11,Alice,45,HR,68620.24,20.3
12,Bob,60,Sales,64391.41,20.7
13,Frank,32,Engineering,95543.03,45.2
14,Alice,24,Sales,41065.2,32.1
15,Hank,57,Sales,32582.33,54.0
16,Bob,45,Operations,94928.55,37.8
17,Charlie,60,HR,78289.3,40.3
18,Frank,38,Engineering,46152.5,23.5
19,Grace,48,Sales,93408.51,57.3
