id,name,age,department,salary,working_hours
1,Jack,57,HR,67366.63,22.9
2,Charlie,47,Operations,102813.07,25.6
3,Ivy,41,Sales,104139.0,39.3
4,Eve,30,HR,90103.23,30.9
5,Alice,49,Marketing,70511.53,39.0
6,Ivy,38,Finance,119341.21,25.5
7,Jack,54,Finance,57556.33,37.5
8,Eve,39,Finance,110131.83,32.5
9,Diana,23,Sales,105679.0,24.5
10,Eve,57,Marketing,34252.76,23.8
11,Frank,34,Engineering,30151.11,46.8
12,Grace,40,Marketing,93105.42,34.3
13,Eve,40,Marketing,59569.52,31.9
14,Eve,23,Sales,100750.3,45.2
15,Eve,29,Marketing,59063.97,42.9
